基礎機械製作法Ⅱ
,,試験,レポート,授業態度,合計
,総合評価割合,70,20,10,100,,
,基本的な理解,50,15,10,75,,
,思考・推論・創造への適用力,20,5,0,25,,
,,,,,,,

機械製図Ⅱ
,,課題図面,小テスト,授業態度,合計
,総合評価割合,80,10,10,100,,
,知識の基本的な理解,10,10,0,20,,
,汎用的技能,70,0,0,70,,
,態度,0,0,10,10,,
,,,,,,,

工作実習Ⅱ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,0,0,0,40,0,60,100,,
,総合評価割合,0,0,0,0,0,100,100,,
,基礎的能力,0,0,0,0,0,50,50,,
,専門的能力,0,0,0,0,0,40,40,,
,分野横断的能力,0,0,0,0,0,10,10,,
,,,,,,,,,,

応用解析Ⅰ
,,試験,レポート,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,70,30,0,0,0,0,100,,
,基礎的能力,40,10,0,0,0,0,50,,
,専門的能力,30,20,0,0,0,0,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

応用解析Ⅱ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,0,0,0,0,20,100,,
,基礎的能力,50,0,0,0,0,10,60,,
,専門的能力,20,0,0,0,0,5,25,,
,分野横断的能力,10,0,0,0,0,5,15,,
,,,,,,,,,,

設計製図Ⅰ
,,試験,課題,成果品・実技,口頭発表,ポートフォリオ,その他,合計
,総合評価割合,40,20,20,20,0,0,100,,
,基礎的能力,30,15,15,10,0,0,70,,
,専門的能力,10,5,5,10,0,0,30,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

基礎研究
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,40,15,0,0,0,45,100,,
,基礎的能力,20,5,0,0,0,30,55,,
,専門的能力,20,5,0,0,0,10,35,,
,分野横断的能力,0,5,0,0,0,5,10,,
,,,,,,,,,,

材料力学Ⅰ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,100,0,0,0,0,0,100,,
,基礎的能力,80,0,0,0,0,0,80,,
,専門的能力,20,0,0,0,0,0,20,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

流体工学Ⅰ
,,試験,レポート,合計
,総合評価割合,80,20,100,,
,知識の基本的な理解,50,10,60,,
,思考・推論・創造への適用力,30,10,40,,
,,,,,,

工業熱力学Ⅰ
,,到達度試験,小テスト,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,基礎的能力,80,20,0,0,0,0,100,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

機械加工学
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,0,0,0,0,20,100,,
,基礎的能力,40,0,0,0,0,10,50,,
,専門的能力,40,0,0,0,0,10,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

機械力学Ⅰ
,,試験,小テスト,レポート,口頭発表,ポートフォリオ,その他,合計
,総合評価割合,80,0,20,0,0,0,100,,
,基礎的能力,60,0,20,0,0,0,80,,
,専門的能力,20,0,0,0,0,0,20,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

電子応用
,,試験,レポート,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,基礎的能力,50,10,0,0,0,0,60,,
,専門的能力,10,5,0,0,0,0,15,,
,分野横断的能力,20,5,0,0,0,0,25,,
,,,,,,,,,,

材料工学Ⅰ
,,試験,小テスト,レポート・発表,成果品・実技,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,知識の基本的な理解,50,10,0,0,0,0,60,,
,思考・推論・創造への適応力,10,5,0,0,0,0,15,,
,汎用的技能,20,5,0,0,0,0,25,,
,態度・嗜好性(人間力),0,0,0,0,0,0,0,,
,総合的な学習経験と創造的思考力,0,0,0,0,0,0,0,,
,,,,,,,,,,

機械設計
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,0,0,0,0,20,100,,
,基礎的能力,40,0,0,0,0,10,50,,
,専門的能力,40,0,0,0,0,10,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

材料力学Ⅱ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,100,0,0,0,0,0,100,,
,基礎的能力,80,0,0,0,0,0,80,,
,専門的能力,20,0,0,0,0,0,20,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

流体工学Ⅱ
,,試験,レポート,合計
,総合評価割合,80,20,100,,
,知識の基本的な理解,50,10,60,,
,思考・推論・創造への適用力,30,10,40,,
,,,,,,

工業熱力学Ⅱ
,,到達度試験,小テスト,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,基礎的能力,80,20,0,0,0,0,100,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

工学実験Ⅰ
,,試験,発表,レポート,態度,ポートフォリオ,その他,合計
,総合評価割合,0,0,75,0,0,25,100,,
,基礎的能力,0,0,30,0,0,0,30,,
,思考・推論・創造への適用力,0,0,15,0,0,0,15,,
,汎用的技能,0,0,20,0,0,25,45,,
,態度・嗜好性 (人間力),0,0,0,0,0,0,0,,
,総合的な学習経験と,0,0,10,0,0,0,10,,
,,,,,,,,,,

校外実習Ａ
,,レポート,発表,実習先評価,態度,ポートフォリオ,その他,合計
,総合評価割合,25,25,50,0,0,0,100,,
,基礎的能力,10,10,25,0,0,0,45,,
,専門的能力,15,15,25,0,0,0,55,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

校外実習Ｂ
,,レポート,発表,実習先評価,態度,ポートフォリオ,その他,合計
,総合評価割合,25,25,50,0,0,0,100,,
,基礎的能力,10,10,25,0,0,0,45,,
,専門的能力,15,15,25,0,0,0,55,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

計測工学
,,試験,小テスト,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,基礎的能力,60,10,0,0,0,0,70,,
,専門的能力,20,10,0,0,0,0,30,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

応用物理ⅡＢ
,,到達度試験,小テスト・宿題,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,知識の基本的な理解,50,10,0,0,0,0,60,,
,思考・推論・創造への適用力,10,5,0,0,0,0,15,,
,汎用的技能,20,5,0,0,0,0,25,,
,,,,,,,,,,

環境工学
,,試験,演習課題,合計
,総合評価割合,80,20,100,,
,基礎的能力,60,10,70,,
,専門的能力,10,5,15,,
,分野横断的能力,10,5,15,,
,,,,,,

特別講義Ⅳ
,,試験,発表,相互評価,態度,ポートフォリオ,レポート,合計
,総合評価割合,0,0,0,0,0,100,100,,
,基礎的能力,0,0,0,0,0,50,50,,
,専門的能力,0,0,0,0,0,40,40,,
,分野横断的能力,0,0,0,0,0,10,10,,
,,,,,,,,,,

応用解析Ⅲ
,,試験,演習課題,合計
,総合評価割合,70,30,100,,
,基礎的能力,40,10,50,,
,専門的能力,30,20,50,,
,分野横断的能力,0,0,0,,
,,,,,,

設計製図Ⅱ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,0,0,0,0,0,100,100,,
,基礎的能力,0,0,0,0,0,50,50,,
,専門的能力,0,0,0,0,0,50,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

卒業研究
,,試験,発表,レポート,態度,ポートフォリオ,その他,合計
,総合評価割合,0,30,35,0,0,35,100,,
,基礎的能力,0,10,15,0,0,5,30,,
,専門的能力,0,10,10,0,0,15,35,,
,分野横断的能力,0,10,10,0,0,15,35,,
,,,,,,,,,,

流体工学Ⅲ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,基礎的能力,60,15,0,0,0,0,75,,
,専門的能力,20,5,0,0,0,0,25,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

計算力学
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,100,0,0,0,0,0,100,,
,基礎的能力,50,0,0,0,0,0,50,,
,専門的能力,50,0,0,0,0,0,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

制御工学Ⅰ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,100,0,0,0,0,0,100,,
,基礎的能力,50,0,0,0,0,0,50,,
,専門的能力,50,0,0,0,0,0,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

熱工学
,,試験,発表,相互評価,態度,ポートフォリオ,レポート,合計
,総合評価割合,80,0,0,0,0,20,100,,
,基礎的能力,80,0,0,0,0,20,100,,
,専門的能力,0,0,0,0,0,0,0,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

内燃機関Ⅰ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,0,0,0,0,0,0,0,,
,基礎的能力,５０,５,0,0,0,１０,0,,
,専門的能力,２０,５,0,0,0,0,0,,
,分野横断的能力,１０,0,0,0,0,0,0,,
,,,,,,,,,,

機械力学Ⅱ
,,試験,小テスト,レポート,口頭発表,ポートフォリオ,その他,合計
,総合評価割合,80,0,20,0,0,0,100,,
,基礎的能力,60,0,20,0,0,0,80,,
,専門的能力,20,0,0,0,0,0,20,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

工学実験Ⅱ
,,試験,発表,レポート,態度,ポートフォリオ,その他,合計
,総合評価割合,0,0,75,0,0,25,100,,
,基礎的能力,0,0,30,0,0,0,30,,
,思考・推論・創造への適用力,0,0,15,0,0,0,15,,
,汎用的技能,0,0,20,0,0,25,45,,
,態度・嗜好性 (人間力),0,0,0,0,0,0,0,,
,総合的な学習経験と,0,0,10,0,0,0,10,,
,,,,,,,,,,

材料工学Ⅱ
,,試験,小テスト,レポート・発表,成果品・実技,ポートフォリオ,その他,合計
,総合評価割合,80,20,0,0,0,0,100,,
,知識の基本的な理解,50,10,0,0,0,0,60,,
,思考・推論・創造への適用力,10,5,0,0,0,0,15,,
,汎用的技能,20,5,0,0,0,0,25,,
,態度・嗜好性 (人間力),0,0,0,0,0,0,0,,
,総合的な学習経験と創造的思考力,0,0,0,0,0,0,0,,
,,,,,,,,,,

機械力学Ⅲ
,,試験,小テスト,レポート,口頭発表,ポートフォリオ,その他,合計
,総合評価割合,80,0,20,0,0,0,100,,
,基礎的能力,60,0,20,0,0,0,80,,
,専門的能力,20,0,0,0,0,0,20,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

制御工学Ⅱ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,100,0,0,0,0,0,100,,
,基礎的能力,50,0,0,0,0,0,50,,
,専門的能力,50,0,0,0,0,0,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

ロボット工学
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,100,0,0,0,0,0,100,,
,基礎的能力,50,0,0,0,0,0,50,,
,専門的能力,50,0,0,0,0,0,50,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

内燃機関Ⅱ
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,0,0,0,0,0,0,0,,
,基礎的能力,５０,５,0,0,0,１０,0,,
,専門的能力,２０,５,0,0,0,0,0,,
,分野横断的能力,１０,0,0,0,0,0,0,,
,,,,,,,,,,

工作機械
,,試験,発表,相互評価,態度,ポートフォリオ,その他,合計
,総合評価割合,80,0,0,0,0,20,100,,
,基礎的能力,50,0,0,0,0,15,65,,
,専門的能力,30,0,0,0,0,5,35,,
,分野横断的能力,0,0,0,0,0,0,0,,
,,,,,,,,,,

流体機械
,,試験,レポート,合計
,総合評価割合,90,10,100,,
,知識の基本的な理解,50,5,55,,
,思考・推論・創造への適用力,40,5,45,,
,,,,,,

